,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofFloors,PropertyGFAParking,ListOfAllPropertyUseTypes,LargestPropertyUseType,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,SourceEUI(kBtu/sf),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),DefaultData,ComplianceStatus,TotalGHGEmissions,GHGEmissionsIntensity
2930,NonResidential,Small- and Mid-Sized Office,4,LAKE UNION,47.65576,-122.34208,1995,3,0,Office,Office,Rien,28444.075817081597,287.7999878,2827857.0,0.0,1444160.0,False,Compliant,77.84,3.81
2931,Multifamily LR (1-4),Low-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.62473,-122.34727,2006,3,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,55020.0,75.5,2990238.75,0.0,2032121.0,False,Compliant,65.05,0.66
2932,Multifamily MR (5-9),Mid-Rise Multifamily,5,NORTH,47.71816,-122.29484,2004,6,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,25100.0,105.0999985,1820555.5,0.0,1167039.0,False,Compliant,41.51,1.01
2933,Multifamily LR (1-4),Low-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.62868,-122.34718,1959,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,69.5,533453.625,0.0,507976.0,False,Compliant,3.54,0.15
2934,Multifamily LR (1-4),Low-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.62732,-122.34668,1967,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,83.69999695,569668.1875,0.0,533227.0,False,Compliant,3.72,0.18
2935,Multifamily HR (10+),High-Rise Multifamily,7,EAST,47.61263,-122.32924,2002,27,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,126.4000015,11210376.0,0.0,5490671.0,False,Compliant,314.92,1.75
2936,Multifamily HR (10+),High-Rise Multifamily,5,NORTHWEST,47.70451,-122.33453,1979,10,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,158.8000031,3992223.5,0.0,3796986.0,False,Compliant,26.47,0.35
2937,Multifamily LR (1-4),Low-Rise Multifamily,5,NORTHWEST,47.70355,-122.33502,1988,3,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,12579.0,81.69999695,962095.375,0.0,932599.0,False,Compliant,6.5,0.13
2938,NonResidential,Small- and Mid-Sized Office,5,NORTHWEST,47.70349,-122.33424,1983,3,6300,"Office, Parking",Office,Parking,6300.0,106.5,624125.625,0.0,624125.0,False,Compliant,4.35,0.18
2939,Multifamily LR (1-4),Low-Rise Multifamily,5,NORTHWEST,47.70612,-122.3335,1979,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,87.0,597506.1875,0.0,576644.0,False,Compliant,4.02,0.19
2940,Multifamily MR (5-9),Mid-Rise Multifamily,3,EAST,47.61943,-122.32626,2006,7,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,99.19999695,1469640.375,0.0,1337999.0,False,Compliant,13.27,0.31
2941,Multifamily LR (1-4),Low-Rise Multifamily,3,EAST,47.62705,-122.32306,1985,3,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,17050.0,81.80000305,2119531.75,0.0,631267.0,False,Compliant,70.11,1.47
2942,Multifamily LR (1-4),Low-Rise Multifamily,2,DOWNTOWN,47.59903,-122.33461,1905,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,72.30000305,515420.3125,0.0,473874.0,False,Compliant,3.3,0.16
2943,Multifamily MR (5-9),Mid-Rise Multifamily,6,BALLARD,47.66994,-122.3881,2006,6,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,132.8999939,1384103.25,0.0,1008570.0,False,Compliant,22.83,0.6
2944,SPS-District K-12,K-12 School,5,NORTHWEST,47.71487,-122.32959,1956,1,0,K-12 School,K-12 School,Rien,28444.075817081597,82.5,2205570.75,0.0,786971.0,True,Error - Correct Default Data,68.89,1.52
2945,NonResidential,Worship Facility,5,NORTHWEST,47.71479,-122.32824,2002,1,0,Worship Facility,Worship Facility,Rien,28444.075817081597,55.79999924,773357.0,0.0,320006.0,False,Compliant,21.87,0.88
2946,Multifamily LR (1-4),Low-Rise Multifamily,5,North,47.71853,-122.31898,1995,4,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,19160.0,99.19999695,1430774.75,0.0,1371061.0,False,Compliant,9.56,0.15
2947,Multifamily MR (5-9),Mid-Rise Multifamily,1,DELRIDGE,47.56391,-122.37287,1997,5,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,17912.0,86.69999695,2982612.5,0.0,1808248.0,False,Compliant,65.27,0.84
2948,Multifamily LR (1-4),Low-Rise Multifamily,5,NORTHWEST,47.71027,-122.33364,1977,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,61.59999847,714641.625,0.0,689082.0,False,Compliant,4.8,0.12
2949,Multifamily LR (1-4),Low-Rise Multifamily,5,NORTHWEST,47.7098,-122.33319,1973,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,61.29999924,516606.1875,0.0,491218.0,False,Compliant,3.42,0.14
2950,Multifamily LR (1-4),Low-Rise Multifamily,5,NORTHWEST,47.70986,-122.33227,1971,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,74.69999695,652530.0,0.0,624269.0,False,Compliant,4.35,0.17
2951,Multifamily MR (5-9),Mid-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.62351,-122.36296,1968,7,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,13000.0,121.0999985,1621425.0,0.0,1559199.0,False,Compliant,10.87,0.27
2952,Multifamily LR (1-4),Low-Rise Multifamily,3,EAST,47.62444,-122.29516,2008,3,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,8428.0,72.09999847,856758.8125,0.0,782994.0,False,Compliant,7.37,0.21
2953,Multifamily MR (5-9),Mid-Rise Multifamily,3,EAST,47.63716,-122.2765,1985,5,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,112.3000031,1441046.875,0.0,1353079.0,False,Compliant,9.43,0.25
2954,Multifamily LR (1-4),Low-Rise Multifamily,3,EAST,47.63474,-122.27642,1964,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,78.0,863212.3125,0.0,804194.0,False,Compliant,5.61,0.17
2955,Multifamily LR (1-4),Low-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.62664,-122.35236,1957,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,57.90000153,650205.8125,0.0,428247.0,False,Compliant,14.77,0.54
2956,Multifamily LR (1-4),Low-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.62749,-122.34992,1963,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,66.59999847,510645.5938,0.0,474469.0,False,Compliant,3.31,0.13
2957,Multifamily LR (1-4),Low-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.62672,-122.34923,2006,3,0,"Multifamily Housing, Parking, Senior Care Community",Multifamily Housing,Parking,23385.0,72.09999847,6005926.5,0.0,3601862.0,False,Compliant,139.27,0.96
2958,Multifamily LR (1-4),Low-Rise Multifamily,7,DOWNTOWN,47.60377,-122.32971,1926,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,58.79999924,1219025.75,0.0,738056.0,False,Compliant,28.61,0.61
2959,Multifamily LR (1-4),Low-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.62517,-122.3486,1910,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,45.20000076,572672.8125,0.0,199471.0,False,Compliant,20.76,0.93
2960,Multifamily LR (1-4),Low-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.62612,-122.34847,1957,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,75.40000153,785187.3125,0.0,441985.0,False,Compliant,18.01,0.81
2961,Multifamily LR (1-4),Senior Care Community,7,MAGNOLIA / QUEEN ANNE,47.62684,-122.34843,2006,3,0,"Parking, Senior Care Community",Senior Care Community,Parking,23385.0,101.8000031,1854976.875,0.0,1063578.0,False,Compliant,42.57,0.76
2962,NonResidential,Other,3,Central,47.62342,-122.29688,1991,3,0,Other/Specialty Hospital,Other/Specialty Hospital,Rien,28444.075817081597,483.7000122,8652913.0,0.0,3603789.0,False,Compliant,286.33,8.4
2963,NonResidential,Hotel,7,DOWNTOWN,47.60505,-122.3361,2006,10,22225,"Hotel, Parking",Hotel,Parking,52400.0,207.3999939,17311366.0,0.0,10914911.0,False,Compliant,423.57,1.08
2964,Multifamily LR (1-4),Low-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.65397,-122.38806,1977,4,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,7639.0,82.90000153,792776.875,0.0,744234.0,False,Compliant,5.19,0.14
2965,Multifamily LR (1-4),Low-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.65332,-122.39163,1968,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,62.20000076,632329.3125,0.0,594613.0,False,Compliant,4.15,0.14
2966,Multifamily LR (1-4),Low-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.65273,-122.39162,1968,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,81.69999695,720035.625,0.0,675447.0,False,Compliant,4.71,0.18
2967,Multifamily LR (1-4),Low-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.65245,-122.39186,1968,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,68.5,581866.0,0.0,552401.0,False,Compliant,3.85,0.15
2968,Multifamily LR (1-4),Low-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.65211,-122.39234,1967,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,65.19999695,821275.375,0.0,770346.0,False,Compliant,5.37,0.14
2969,Multifamily LR (1-4),Low-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.65249,-122.39099,1969,4,0,"Multifamily Housing, Parking, Swimming Pool",Multifamily Housing,Parking,2816.0,90.59999847,1690284.375,0.0,1618779.0,False,Compliant,11.29,0.2
2970,Multifamily LR (1-4),Low-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.65203,-122.39014,1968,4,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,3381.0,86.30000305,1218827.25,0.0,1161312.0,False,Compliant,8.1,0.34
2971,Multifamily MR (5-9),Mid-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.65201,-122.3891,1970,5,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,82.09999847,781689.125,0.0,736838.0,False,Compliant,5.14,0.18
2972,Multifamily MR (5-9),Mid-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.65295,-122.39078,1970,5,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,66.40000153,883023.375,0.0,843623.0,False,Compliant,5.88,0.15
2973,Multifamily MR (5-9),Mid-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.65295,-122.39078,1968,5,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,96.19999695,1298727.25,0.0,1242478.0,False,Compliant,8.66,0.21
2974,Multifamily MR (5-9),Mid-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.6531,-122.39027,1968,5,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,83.5,1244611.0,0.0,1188995.0,False,Compliant,8.29,0.19
2975,Multifamily MR (5-9),Mid-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.65068,-122.38877,1973,5,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,82.0,901683.125,0.0,847299.0,False,Compliant,5.91,0.18
2976,Multifamily MR (5-9),Mid-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.65115,-122.38881,1973,5,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,72.5,822834.375,0.0,772379.0,False,Compliant,5.38,0.16
2977,Multifamily MR (5-9),Mid-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.6513,-122.38887,1973,5,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,72.09999847,873461.875,0.0,830286.0,False,Compliant,5.79,0.16
2978,Multifamily LR (1-4),Low-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.65186,-122.38842,1974,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,71.90000153,716977.0,0.0,677476.0,False,Compliant,4.72,0.16
2979,Multifamily LR (1-4),Low-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.65185,-122.38782,1974,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,68.69999695,803976.625,0.0,756909.0,False,Compliant,5.28,0.15
2980,Multifamily LR (1-4),Low-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.65083,-122.38937,1968,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,34.09999847,381799.6875,0.0,352136.0,False,Compliant,2.45,0.08
2981,NonResidential,Worship Facility,5,North,47.71856,-122.32084,1961,2,0,"Other - Education, Worship Facility",Worship Facility,Other - Education,31033.0,39.90000153,1913404.25,0.0,573241.0,False,Compliant,67.33,0.88
2982,NonResidential,K-12 School,5,North,47.71923,-122.32171,1988,2,0,K-12 School,K-12 School,Rien,28444.075817081597,78.40000153,1719595.125,0.0,446659.0,False,Compliant,62.94,1.91
2983,Multifamily LR (1-4),Low-Rise Multifamily,5,North,47.72004,-122.31924,1986,3,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,3326.0,86.0,723333.1875,0.0,688375.0,False,Compliant,4.8,0.17
2984,Multifamily MR (5-9),Mid-Rise Multifamily,1,SOUTHWEST,47.56574,-122.38716,2006,5,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,90.40000153,1103066.25,0.0,840656.0,False,Compliant,15.5,0.5
2985,Nonresidential COS,Other,6,NORTHWEST,47.6875,-122.35496,2004,1,14570,"Library, Parking",Library,Parking,0.0,197.8999939,1155795.125,0.0,668530.0,False,Compliant,26.67,0.97
2986,Multifamily LR (1-4),Low-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.64273,-122.38414,1969,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,65.40000153,549833.0,0.0,509171.0,True,Error - Correct Default Data,3.55,0.15
2987,Multifamily LR (1-4),Low-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.64611,-122.39791,1978,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,83.80000305,811476.625,0.0,747384.0,False,Compliant,5.21,0.19
2988,Multifamily LR (1-4),Low-Rise Multifamily,6,LAKE UNION,47.66087,-122.35133,1969,3,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,3117.0,79.30000305,596007.625,0.0,559235.0,False,Compliant,3.9,0.15
2989,Multifamily LR (1-4),Mixed Use Property,6,LAKE UNION,47.66133,-122.34973,1990,4,0,"Multifamily Housing, Other, Parking, Urgent Care/Clinic/Other Outpatient",Multifamily Housing,Parking,15056.0,116.0999985,981444.125,0.0,930439.0,False,Compliant,6.49,0.14
2990,Multifamily LR (1-4),Low-Rise Multifamily,4,LAKE UNION,47.65921,-122.34685,1997,4,0,"Multifamily Housing, Office, Parking",Multifamily Housing,Parking,15199.0,87.59999847,1378295.375,0.0,1326772.0,False,Compliant,9.25,0.15
2991,Multifamily LR (1-4),Low-Rise Multifamily,4,LAKE UNION,47.66027,-122.34704,1995,4,0,"Multifamily Housing, Office, Parking",Multifamily Housing,Parking,21761.0,93.5,1410611.25,0.0,1348497.0,False,Compliant,9.4,0.14
2992,Multifamily LR (1-4),Low-Rise Multifamily,6,NORTHWEST,47.69079,-122.35157,2002,4,0,"Multifamily Housing, Parking, Retail Store",Multifamily Housing,Parking,69081.0,84.69999695,3188816.5,0.0,3085505.0,False,Compliant,21.51,0.12
2993,Campus,K-12 School,3,CENTRAL,47.62291,-122.28879,1950,1,0,K-12 School,K-12 School,Rien,28444.075817081597,56.20000076,3657784.25,0.0,1294767.0,False,Compliant,115.34,1.05
2994,Multifamily MR (5-9),Mid-Rise Multifamily,3,Central,47.61792,-122.3078,1989,5,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,81.19999695,865356.125,0.0,821860.0,False,Compliant,5.73,0.15
2995,NonResidential,Other,3,Central,47.61796,-122.30847,1911,3,0,Other - Lodging/Residential,Other - Lodging/Residential,Rien,28444.075817081597,75.09999847,1407294.875,0.0,281188.0,False,Compliant,53.02,2.1
2996,NonResidential,Supermarket / Grocery Store,5,North,47.70941,-122.31707,1996,1,0,Supermarket/Grocery Store,Supermarket/Grocery Store,Rien,28444.075817081597,521.0,11943740.0,0.0,5923610.0,False,Compliant,338.58,7.57
2997,NonResidential,Other,3,EAST,47.61340332,-122.3203506,1907,2,0,"Repair Services (Vehicle, Shoe, Locksmith, etc)","Repair Services (Vehicle, Shoe, Locksmith, etc)",Rien,28444.075817081597,22.70000076,230988.9063,0.0,137286.0,False,Compliant,4.8,0.22
2998,NonResidential,Mixed Use Property,3,EAST,47.6139,-122.32034,1912,3,0,"Office, Other, Retail Store",Office,Other,6000.0,117.0999985,952583.5,0.0,876004.0,False,Compliant,9.09,0.38
2999,NonResidential,Small- and Mid-Sized Office,3,EAST,47.61393,-122.31589,1920,3,0,Office,Office,Rien,28444.075817081597,151.0,2902229.0,0.0,334292.0,False,Compliant,128.07,5.47
3000,NonResidential,Other,3,EAST,47.61674,-122.31111,1975,2,11328,Urgent Care/Clinic/Other Outpatient,Urgent Care/Clinic/Other Outpatient,Rien,28444.075817081597,266.1000061,3564727.5,0.0,3257087.0,False,Compliant,28.79,0.74
3001,Multifamily LR (1-4),Low-Rise Multifamily,3,EAST,47.61616,-122.3111,1926,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,49.90000153,1546527.75,0.0,272761.0,False,Compliant,59.74,1.49
3002,Multifamily LR (1-4),Low-Rise Multifamily,3,EAST,47.61598,-122.31034,1924,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,78.5,990856.3125,0.0,507964.0,False,Compliant,25.37,0.98
3003,NonResidential,Mixed Use Property,3,EAST,47.61554,-122.31098,1998,5,14625,"Multifamily Housing, Parking, Supermarket/Grocery Store",Multifamily Housing,Supermarket/Grocery Store,14257.0,215.8999939,3518099.75,0.0,2091625.0,False,Compliant,83.65,1.58
3004,Multifamily MR (5-9),Mid-Rise Multifamily,3,CENTRAL,47.6149,-122.31104,1912,6,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,64.59999847,1636686.25,0.0,654964.0,False,Compliant,46.32,0.95
3005,Multifamily LR (1-4),Low-Rise Multifamily,3,CENTRAL,47.61538,-122.31034,1904,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,88.0,2037554.0,0.0,168293.0,False,Compliant,88.11,3.45
3006,Multifamily HR (10+),High-Rise Multifamily,3,CENTRAL,47.61455,-122.31043,1972,12,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,5571.0,171.0,6040881.5,0.0,4312420.0,False,Compliant,101.43,1.09
3007,Multifamily LR (1-4),Low-Rise Multifamily,3,CENTRAL,47.61175,-122.3098,1929,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,67.69999695,1328957.75,0.0,181025.0,False,Compliant,53.35,2.26
3008,Multifamily LR (1-4),Low-Rise Multifamily,3,CENTRAL,47.61433,-122.30921,1988,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,92.30000305,754629.0,0.0,730765.0,False,Compliant,5.09,0.18
3009,NonResidential,Warehouse,3,EAST,47.61481,-122.31536,1920,2,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Rien,28444.075817081597,10.19999981,79967.89844,0.0,72845.0,False,Compliant,0.87,0.04
3010,Multifamily LR (1-4),Low-Rise Multifamily,3,EAST,47.6151,-122.31461,1910,3,0,"Multifamily Housing, Restaurant",Multifamily Housing,Restaurant,3468.0,62.5,720247.1875,0.0,272135.0,False,Compliant,23.51,1.15
3011,Multifamily MR (5-9),Mid-Rise Multifamily,3,EAST,47.61492,-122.31654,1910,6,12387,"Multifamily Housing, Parking",Multifamily Housing,Parking,12387.0,98.90000153,3841879.25,0.0,2161086.0,False,Compliant,104.33,1.4
3012,NonResidential,Warehouse,3,EAST,47.61469,-122.31596,1958,2,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Rien,28444.075817081597,30.20000076,604190.125,0.0,595937.0,False,Compliant,4.15,0.07
3013,Multifamily MR (5-9),Mid-Rise Multifamily,3,EAST,47.61621,-122.32241,1940,5,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,3120.0,71.90000153,2752609.25,0.0,475462.0,False,Compliant,111.04,2.21
3014,NonResidential,Small- and Mid-Sized Office,3,EAST,47.61556,-122.32048,1925,2,0,"Office, Retail Store",Office,Retail Store,13188.0,118.8000031,1002986.375,0.0,1024252.0,False,Compliant,7.31,0.26
3015,Multifamily MR (5-9),Mid-Rise Multifamily,4,NORTHEAST,47.6646,-122.31558,2006,6,0,"Multifamily Housing, Parking, Retail Store",Multifamily Housing,Parking,23637.0,111.5,2430993.25,0.0,2338238.0,False,Compliant,16.3,0.25
3016,Multifamily MR (5-9),Mid-Rise Multifamily,4,NORTHEAST,47.66459,-122.31601,1991,5,0,"Multifamily Housing, Office, Parking",Multifamily Housing,Parking,16986.0,84.09999847,2034690.125,0.0,932043.0,False,Compliant,59.53,0.93
3017,Multifamily MR (5-9),Mid-Rise Multifamily,4,NORTHEAST,47.66391,-122.31602,2001,6,25721,"Multifamily Housing, Parking",Multifamily Housing,Parking,12284.0,102.4000015,1974801.75,0.0,1913034.0,False,Compliant,13.34,0.15
3018,Multifamily MR (5-9),Mid-Rise Multifamily,4,NORTHEAST,47.66326,-122.31603,2000,5,8313,"Multifamily Housing, Office, Parking",Multifamily Housing,Parking,10500.0,94.0,1025664.0,0.0,541437.0,False,Compliant,27.04,0.81
3019,NonResidential,Other,4,NORTHEAST,47.66386,-122.31715,1924,2,0,"Other - Services, Retail Store",Other - Services,Retail Store,9650.0,120.6999969,1623657.0,0.0,1623657.0,False,Compliant,11.32,0.52
3020,Nonresidential COS,Other,4,NORTHEAST,47.66506,-122.31656,1929,3,0,Other,Other,Rien,28444.075817081597,189.3999939,2182493.0,0.0,964426.0,False,Compliant,63.22,2.27
3021,Multifamily LR (1-4),Low-Rise Multifamily,4,NORTHEAST,47.66665,-122.31707,2003,4,0,"Multifamily Housing, Parking, Retail Store",Multifamily Housing,Parking,8006.0,100.0999985,609854.3125,0.0,579061.0,False,Compliant,4.04,0.16
3022,Campus,K-12 School,3,CENTRAL,47.62291,-122.28879,2000,2,0,K-12 School,K-12 School,Rien,28444.075817081597,100.8000031,1824440.125,0.0,659450.0,False,Compliant,55.73,1.82
3023,Multifamily LR (1-4),Low-Rise Multifamily,4,LAKE UNION,47.65488,-122.32641,1997,4,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,5841.0,94.80000305,1849776.5,0.0,850105.0,False,Compliant,51.2,1.18
3024,NonResidential,Retail Store,2,DOWNTOWN,47.59951,-122.32033,2000,3,0,Retail Store,Retail Store,Rien,28444.075817081597,201.6999969,3770784.25,0.0,3434704.0,False,Compliant,39.31,0.72
3025,NonResidential,K-12 School,3,CENTRAL,47.61395,-122.31253,1951,2,0,"K-12 School, Office, Social/Meeting Hall, Worship Facility",K-12 School,Worship Facility,10415.0,58.0,1892122.25,0.0,911763.0,False,Compliant,51.14,1.39
3026,Multifamily LR (1-4),Low-Rise Multifamily,3,CENTRAL,47.61446,-122.31216,1908,4,0,"Fast Food Restaurant, Multifamily Housing, Parking",Multifamily Housing,Parking,5318.0,88.0,961325.625,0.0,869699.0,False,Compliant,6.93,0.19
3027,Multifamily MR (5-9),Mid-Rise Multifamily,3,EAST,47.61481,-122.31256,2008,7,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,26480.0,81.0,3928257.25,0.0,1898710.0,False,Compliant,118.45,1.17
3028,NonResidential,Small- and Mid-Sized Office,3,EAST,47.61546,-122.31195,1958,3,0,Office,Office,Rien,28444.075817081597,148.6000061,2223401.5,0.0,1219253.0,False,Compliant,54.02,2.09
3029,Multifamily LR (1-4),Low-Rise Multifamily,3,EAST,47.61682,-122.3123,1962,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,92.59999847,822265.8125,0.0,772214.0,False,Compliant,5.38,0.21
3030,Multifamily LR (1-4),Low-Rise Multifamily,3,EAST,47.61745,-122.31235,1909,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,69.80000305,829286.6875,0.0,483716.0,False,Compliant,18.02,0.7
3031,Multifamily LR (1-4),Low-Rise Multifamily,5,NORTHWEST,47.69309,-122.35359,1985,4,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,6528.0,68.09999847,609750.625,0.0,566001.0,False,Compliant,3.95,0.15
3032,NonResidential,Worship Facility,3,EAST,47.63193,-122.32126,1929,1,0,Worship Facility,Worship Facility,Rien,28444.075817081597,100.0999985,4195549.5,0.0,751827.0,False,Compliant,150.23,3.98
3033,Multifamily MR (5-9),Mid-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.63992,-122.37471,1980,5,0,"Multifamily Housing, Swimming Pool",Multifamily Housing,Swimming Pool,0.0,90.5,1557412.375,0.0,1521693.0,False,Compliant,10.61,0.17
3034,Multifamily LR (1-4),Low-Rise Multifamily,3,CENTRAL,47.59926,-122.28563,1956,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,90.5,738642.6875,0.0,687242.0,True,Error - Correct Default Data,4.79,0.2
3035,Multifamily MR (5-9),Mid-Rise Multifamily,3,EAST,47.6139,-122.3272,1998,7,0,"Medical Office, Multifamily Housing, Office, Other, Parking",Multifamily Housing,Parking,5328.0,96.0,2637673.0,0.0,1333798.0,False,Compliant,70.39,1.02
3036,SPS-District K-12,K-12 School,3,EAST,47.64063,-122.30428,1925,2,0,K-12 School,K-12 School,Rien,28444.075817081597,81.90000153,1436271.0,0.0,436535.0,True,Error - Correct Default Data,46.7,1.71
3037,Multifamily LR (1-4),Low-Rise Multifamily,3,EAST,47.63982,-122.30181,1926,2,0,"Food Service, Multifamily Housing, Office, Other, Retail Store",Multifamily Housing,Other,3070.0,124.0999985,1751156.25,0.0,414668.0,False,Compliant,64.86,3.18
3038,Multifamily LR (1-4),Low-Rise Multifamily,5,NORTH,47.71307,-122.31246,1974,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,91.80000305,736286.0,0.0,698327.0,False,Compliant,4.87,0.2
3039,Multifamily LR (1-4),Low-Rise Multifamily,5,NORTH,47.71606,-122.31215,2000,4,0,"Multifamily Housing, Office, Parking",Multifamily Housing,Parking,12762.0,71.19999695,747994.8125,0.0,747995.0,False,Compliant,5.21,0.11
3040,Multifamily LR (1-4),Low-Rise Multifamily,5,NORTH,47.71313,-122.31214,1997,4,0,"Multifamily Housing, Office",Rien,Rien,28444.075817081597,74.80000305,764383.125,0.0,469766.0,False,Compliant,16.31,0.7
3041,NonResidential,Mixed Use Property,3,Central,47.61608,-122.30967,2004,6,0,"Multifamily Housing, Parking, Retail Store",Multifamily Housing,Parking,35973.0,51.5,1056507.75,0.0,1021754.0,False,Compliant,7.12,0.07
3042,Multifamily MR (5-9),Mid-Rise Multifamily,3,Central,47.61672,-122.3098,1969,7,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,103.5,3050131.0,0.0,2180926.0,False,Compliant,49.58,0.68
